#window_start, window_middle, window_end, gene_name
70796969	70896969	70846969	OGT	Bedouin	1	1,00
70796969	70896969	70846969	OGT	Burusho	1	1,00
22367968	22467968	22417968	SIAT8A	Colombian	6	1,00
70796969	70896969	70846969	OGT	Druze	1	1,00
70796969	70896969	70846969	OGT	Makrani	1	1,00
70796969	70896969	70846969	OGT	Mozabite	1	1,00
70796969	70896969	70846969	OGT	Palestinian	1	1,00
70796969	70896969	70846969	OGT	Papuan	1	1,00
70796969	70896969	70846969	OGT	Pathan	1	1,00
70796969	70896969	70846969	OGT	Pima	1	1,00
173723751	173823751	173773751	GALNT7_17	Surui	3	1,00
22247968	22347968	22297968	SIAT8A	Surui	10	1,00
22277968	22377968	22327968	SIAT8A	Surui	9	1,00
22307968	22407968	22357968	SIAT8A	Surui	8	1,00
22337968	22437968	22387968	SIAT8A	Surui	8	1,00
22367968	22467968	22417968	SIAT8A	Surui	6	1,00
22337968	22437968	22387968	SIAT8A	Karitiana	8	1,00
70796969	70896969	70846969	OGT	Brahui	1	1,00
70796969	70896969	70846969	OGT	Kalash	1	1,00
22367968	22467968	22417968	SIAT8A	Karitiana	6	1,00
70796969	70896969	70846969	OGT	Mbuti.Pygmies	1	1,00
22367968	22467968	22417968	SIAT8A	Pima	6	1,00
22337968	22437968	22387968	SIAT8A	Colombian	8	1,00
70796969	70896969	70846969	OGT	Adygei	1	1,00
70796969	70896969	70846969	OGT	French	1	1,00
70796969	70896969	70846969	OGT	North.Italy	1	1,00
70796969	70896969	70846969	OGT	Orcadian	1	1,00
70796969	70896969	70846969	OGT	Russian	1	1,00
70796969	70896969	70846969	OGT	Basque	1	1,00
70586969	70686969	70636969	OGT	Karitiana	1	1,00
70616969	70716969	70666969	OGT	Karitiana	1	1,00
70646969	70746969	70696969	OGT	Karitiana	1	1,00
70646969	70746969	70696969	OGT	Karitiana	1	1,00
70616969	70716969	70666969	OGT	Orcadian	1	1,00
70646969	70746969	70696969	OGT	Orcadian	1	1,00
70646969	70746969	70696969	OGT	Orcadian	1	1,00
70676969	70776969	70726969	OGT	Orcadian	1	1,00
68981490	69081490	69031490	SIAT4B	San	1	1,00
70796969	70896969	70846969	OGT	Sardinian	1	1,00
5802265	5902265	5852265	FUT5_6	Surui	6	1,00
173693751	173793751	173743751	GALNT7_17	Surui	3	1,00
68937775	69037775	68987775	GALNTL1	Surui	5	1,00
31196900	31296900	31246900	GALNT14	Surui	23	0,91
154399031	154499031	154449031	GALNT13	Colombian	11	0,91
154399031	154499031	154449031	GALNT13	Karitiana	11	0,91
39818604	39918604	39868604	B3GALT5	Karitiana	11	0,91
22217968	22317968	22267968	SIAT8A	Surui	10	0,90
5742265	5842265	5792265	FUT5_6	Surui	9	0,89
22307968	22407968	22357968	SIAT8A	Karitiana	9	0,89
22307968	22407968	22357968	SIAT8A	Colombian	9	0,89
22337968	22437968	22387968	SIAT8A	Pima	8	0,88
11576012	11676012	11626012	GALNT18	Surui	8	0,88
85882499	85982499	85932499	SIAT9	Surui	15	0,87
