#gene_name, gene_start, gene_end, window_start, window_middle, window_end, population,     number, score
WBSCR17	70235725	70816520	70796969	70896969	70846969	Bedouin	1	1,00
WBSCR17	70235725	70816520	70796969	70896969	70846969	Burusho	1	1,00
SIAT8A	22245200	22378915	22367968	22467968	22417968	Colombian	6	1,00
WBSCR17	70235725	70816520	70796969	70896969	70846969	Druze	1	1,00
WBSCR17	70235725	70816520	70796969	70896969	70846969	Makrani	1	1,00
WBSCR17	70235725	70816520	70796969	70896969	70846969	Mozabite	1	1,00
WBSCR17	70235725	70816520	70796969	70896969	70846969	Palestinian	1	1,00
WBSCR17	70235725	70816520	70796969	70896969	70846969	Papuan	1	1,00
WBSCR17	70235725	70816520	70796969	70896969	70846969	Pathan	1	1,00
WBSCR17	70235725	70816520	70796969	70896969	70846969	Pima	1	1,00
GALNT7_17	172971232	174481692	173723751	173823751	173773751	Surui	3	1,00
SIAT8A	22245200	22378915	22247968	22347968	22297968	Surui	10	1,00
SIAT8A	22245200	22378915	22277968	22377968	22327968	Surui	9	1,00
SIAT8A	22245200	22378915	22307968	22407968	22357968	Surui	8	1,00
SIAT8A	22245200	22378915	22337968	22437968	22387968	Surui	8	1,00
SIAT8A	22245200	22378915	22367968	22467968	22417968	Surui	6	1,00
SIAT8A	22245200	22378915	22337968	22437968	22387968	Karitiana	8	1,00
WBSCR17	70235725	70816520	70796969	70896969	70846969	Brahui	1	1,00
WBSCR17	70235725	70816520	70796969	70896969	70846969	Kalash	1	1,00
SIAT8A	22245200	22378915	22367968	22467968	22417968	Karitiana	6	1,00
WBSCR17	70235725	70816520	70796969	70896969	70846969	Mbuti.Pygmies	1	1,00
SIAT8A	22245200	22378915	22367968	22467968	22417968	Pima	6	1,00
SIAT8A	22245200	22378915	22337968	22437968	22387968	Colombian	8	1,00
WBSCR17	70235725	70816520	70796969	70896969	70846969	Adygei	1	1,00
WBSCR17	70235725	70816520	70796969	70896969	70846969	French	1	1,00
WBSCR17	70235725	70816520	70796969	70896969	70846969	North.Italy	1	1,00
WBSCR17	70235725	70816520	70796969	70896969	70846969	Orcadian	1	1,00
WBSCR17	70235725	70816520	70796969	70896969	70846969	Russian	1	1,00
WBSCR17	70235725	70816520	70796969	70896969	70846969	Basque	1	1,00
WBSCR17	70235725	70816520	70586969	70686969	70636969	Karitiana	1	1,00
WBSCR17	70235725	70816520	70616969	70716969	70666969	Karitiana	1	1,00
OGT	70682292	70712465	70646969	70746969	70696969	Karitiana	1	1,00
WBSCR17	70235725	70816520	70646969	70746969	70696969	Karitiana	1	1,00
WBSCR17	70235725	70816520	70616969	70716969	70666969	Orcadian	1	1,00
OGT	70682292	70712465	70646969	70746969	70696969	Orcadian	1	1,00
WBSCR17	70235725	70816520	70646969	70746969	70696969	Orcadian	1	1,00
WBSCR17	70235725	70816520	70676969	70776969	70726969	Orcadian	1	1,00
SIAT4B	68972810	68992042	68981490	69081490	69031490	San	1	1,00
WBSCR17	70235725	70816520	70796969	70896969	70846969	Sardinian	1	1,00
FUT5_6	5781637	5821551	5802265	5902265	5852265	Surui	6	1,00
GALNT7_17	172971232	174481692	173693751	173793751	173743751	Surui	3	1,00
SIAT4B	68972810	68992042	68937775	69037775	68987775	Surui	5	1,00
GALNT14	30986837	31205994	31196900	31296900	31246900	Surui	23	0,91
GALNT13	154436712	155018734	154399031	154499031	154449031	Colombian	11	0,91
GALNT13	154436712	155018734	154399031	154499031	154449031	Karitiana	11	0,91
B3GALT5	39850239	39956685	39818604	39918604	39868604	Karitiana	11	0,91
SIAT8A	22245200	22378915	22217968	22317968	22267968	Surui	10	0,90
FUT5_6	5781637	5821551	5742265	5842265	5792265	Surui	9	0,89
SIAT8A	22245200	22378915	22307968	22407968	22357968	Karitiana	9	0,89
SIAT8A	22245200	22378915	22307968	22407968	22357968	Colombian	9	0,89
SIAT8A	22245200	22378915	22337968	22437968	22387968	Pima	8	0,88
GALNT18	11248999	11600128	11576012	11676012	11626012	Surui	8	0,88
SIAT9	85919782	85969668	85882499	85982499	85932499	Surui	15	0,87
